"행정구역시도코드","가구총소득구간코드","피곤함정도코드","삶만족도코드","(주행동시간량_921) 출근","(주행동시간량_922) 퇴근"
11,,1,4,0,20
11,,1,4,0,20
11,,1,4,10,10
11,,1,4,10,20
11,,1,4,20,20
11,,1,4,20,20
11,,1,4,20,30
11,,1,4,20,30
11,,1,4,20,50
11,,1,4,30,20
11,,1,4,30,20
11,,1,4,30,20
11,,1,4,30,30
11,,1,4,30,30
11,,1,4,30,30
11,,1,4,30,30
11,,1,4,30,40
11,,1,4,30,60
11,,1,4,40,20
11,,1,4,40,30
11,,1,4,40,40
11,,1,4,40,40
11,,1,4,40,50
11,,1,4,40,50
11,,1,4,40,50
11,,1,4,40,50
11,,1,4,40,50
11,,1,4,40,60
11,,1,4,40,60
